File name,HEX color,Percent,Percent without background
Master Splinter,#fdfdfd,46.86%,
Master Splinter,#2e1e13,21.34%,40.16%
Master Splinter,#644232,17.29%,32.54%
Master Splinter,#83726b,10.51%,19.78%
Master Splinter,#babab6,4.00%,7.53%

Kirby,#fcf9fc,34.13%,
Kirby,#fa97c6,27.27%,41.40%
Kirby,#d7638c,22.65%,34.39%
Kirby,#ae042d,13.40%,20.34%
Kirby,#171a45,2.55%,3.87%

Princess Celestia,#fbfafb,62.06%,
Princess Celestia,#a2d0d8,10.59%,27.91%
Princess Celestia,#66b3bf,10.14%,26.73%
Princess Celestia,#e3aff3,9.38%,24.72%
Princess Celestia,#e1e1c2,7.83%,20.64%

Caillou,#fcfcfc,68.16%,
Caillou,#f9cd07,12.31%,38.66%
Caillou,#e0ba9c,8.85%,27.80%
Caillou,#985c3e,5.94%,18.66%
Caillou,#0e6398,4.74%,14.89%

Peter Griffin,#f7f7f7,64.64%,
Peter Griffin,#f2b9a6,11.91%,33.68%
Peter Griffin,#245e0b,11.50%,32.52%
Peter Griffin,#ad9689,6.09%,17.22%
Peter Griffin,#3d1d07,5.86%,16.57%

Shaggy Rogers,#fcfcfc,70.93%,
Shaggy Rogers,#b6ae1b,10.57%,36.36%
Shaggy Rogers,#dcc5a5,8.66%,29.79%
Shaggy Rogers,#ab523f,6.59%,22.67%
Shaggy Rogers,#4c4246,3.25%,11.18%

Flynn Rider,#fcfcfb,67.73%,
Flynn Rider,#3a2d21,12.02%,37.25%
Flynn Rider,#7f5d43,8.66%,26.84%
Flynn Rider,#cdad98,7.26%,22.50%
Flynn Rider,#355959,4.33%,13.42%

Gandalf,#fcfcfc,61.65%,
Gandalf,#414048,17.95%,46.81%
Gandalf,#5d5c64,13.25%,34.55%
Gandalf,#c8c3c2,3.64%,9.49%
Gandalf,#998e8b,3.51%,9.15%

Mr. Maker,#fcfcfc,71.76%,
Mr. Maker,#c4ad91,13.57%,48.05%
Mr. Maker,#977b64,7.52%,26.63%
Mr. Maker,#534234,5.73%,20.29%
Mr. Maker,#238fa7,1.42%,5.03%

Yoda,#fbfbfb,31.90%,
Yoda,#463c2e,23.50%,34.51%
Yoda,#18130b,18.04%,26.49%
Yoda,#766c55,16.85%,24.74%
Yoda,#a59e8b,9.71%,14.26%

Bubbles,#010101,68.29%,
Bubbles,#f8d5ce,12.48%,39.36%
Bubbles,#f6f277,11.29%,35.60%
Bubbles,#6f6756,4.82%,15.20%
Bubbles,#81bce3,3.12%,9.84%

King Bowser,#fbfbf9,42.57%,
King Bowser,#a67332,21.52%,37.47%
King Bowser,#edb80c,14.72%,25.63%
King Bowser,#d7bc87,11.83%,20.60%
King Bowser,#3e361e,9.36%,16.30%

King Friday XIII,#fefefd,59.16%,
King Friday XIII,#08363d,14.04%,34.38%
King Friday XIII,#a2998d,9.39%,22.99%
King Friday XIII,#866c4b,8.97%,21.96%
King Friday XIII,#1b5e65,8.44%,20.67%

Bob the Builder,#fbfbfb,61.11%,
Bob the Builder,#c27540,10.77%,27.69%
Bob the Builder,#e5b587,10.49%,26.97%
Bob the Builder,#91a1b6,10.36%,26.64%
Bob the Builder,#803a23,7.27%,18.69%

Pepe Le Pew,#fcfcfc,51.53%,
